,dialog,act,emotion,len_dialog
5,"['Hey Lydia , what are you reading ? '
 ' I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! '
 ' What are you talking about ? Let me see that ... What are horoscopes ? '
 ' It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? '
 ' January 5th . '
 ' Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! '
 "" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ""
 ' No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . '
 ' Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? '
 ' A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ']",[2 1 2 2 1 1 1 1 2 1],[0 4 0 0 0 4 0 0 0 4],1299
8,"[""Hi , Becky , what's up ? ""
 ' Not much , except that my mother-in-law is driving me up the wall . '
 "" What's the problem ? ""
 "" She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ""
 ' For example ? '
 "" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ""
 "" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ""
 "" It's not just that . She also criticizes how we raise the kids . ""
 "" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ""
 ' You said she used to ? How did you stop her ? '
 "" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ""
 "" That sounds like a good idea . I'll have to try that . ""]",[2 1 2 1 2 1 1 1 1 2 1 1],[0 0 0 0 0 0 0 0 0 0 0 4],1259
41,"['does your family have a record of your ancestors ? '
 ' sure . My mom has been working on our family tree for years . She ’ s always updating it . '
 ' do you have a copy of your family tree in your house ? I ’ d love to see it . '
 ' I can show it to you now , if you like . I think it goes back about 8 generations so far . '
 ' that ’ s amazing . Do you have a large extended family ? '
 ' I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . '
 ' are you very close to your first-cousins ? '
 ' the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . '
 ' I see . who ’ s the head of your household ? '
 ' it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . '
 ' that ’ s interesting . What does your grandfather think of your step-mother ? '
 ' at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . '
 ' that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . ']",[2 1 3 4 2 1 2 1 2 1 2 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0],1225
46,"['how do you usually get to school ? '
 ' I usually ride my bike . Which form of transport do you prefer to use ? '
 ' I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . '
 ' I think we should discourage people from using their private cars . They produce too much pollution ! '
 "" I agree , but I would find it difficult to stop using my car . It's just so convenient . ""
 "" cars might be convenient , but they're so bad for the environment . ""
 ' do you have a car ? '
 "" no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . ""
 "" maybe if I sold my car now , I wouldn't be so tempted to use it . ""
 ' you could try . It would save you a lot of money . '
 "" that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . ""
 ' if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! '
 ' I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! '
 "" let's go to a car dealership . I'll help you try to sell your car for a good price . ""
 "" sounds good ! Let's go ! ""]",[2 2 1 1 1 1 2 1 1 1 1 1 1 3 4],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1202
60,"['What sports do you like to play ? ' ' I like baseball and basketball . '
 ' How about football ? '
 ' In my country football is brand new , so I never learned the game when I was younger . '
 "" It's a very popular game in America . ""
 ' Yeah . I heard a lot about it . Is it really that fun ? '
 "" For me , it's one of those games that are fun to both watch and play . ""
 ' Are you a football player ? '
 "" No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . ""
 ' What is two hand touch and flag football ? '
 ' Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . '
 "" I see . It's safer then right ? ""
 "" Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . ""
 "" I'll give it a try . Give me a call and let's go down together . ""
 "" Ok . I'll call you Saturday morning . "" ' Great . ']",[2 1 2 1 1 2 1 2 1 2 1 2 3 4 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4],1043
61,"['What upsets you ? '
 ' My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . '
 ' It is not your mother finding one for you ? '
 ' I will find one myself , of course . I ’ m a modern girl . '
 ' Perhaps you can try the three minutes date , the latest type . '
 ' You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . '
 ' No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . '
 ' I don ’ t think it makes sense . Three minutes is such a short time . '
 ' I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . '
 ' Anyway , I don ’ t want to post my face up for sale on the internet like that . '
 ' Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . '
 ' I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . ']",[2 1 2 1 3 4 1 1 1 1 1 1],[0 5 0 0 0 2 0 0 0 2 0 2],1545
66,"[""Oh , my God ! I've been cheated ! "" ' What ? What did you buy ? '
 "" It's a brick ! I can't believe how stupid I was . Damn it ! ""
 ' What is it ? Why did you buy a brick ? '
 ' There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . '
 ' And ? '
 "" So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . ""
 "" And it's a brick ? "" ' Yes . '
 "" I can't believe how stupid you are . Why didn't you open the box ? ""
 "" I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . ""
 ' So he had the boxes wrapped in plastic . '
 ' Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . '
 ' But why would a guy be selling new video cameras for twenty dollars ? '
 ' He said he had to get rid of them . They were stolen . '
 ' Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! '
 "" C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . ""
 "" That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . ""
 "" You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? ""]",[1 2 1 2 1 2 1 2 1 2 1 1 1 2 1 1 1 1 1],[1 6 1 0 1 0 0 0 0 6 0 0 0 0 0 0 0 0 0],1871
68,"[""Hey , Mary , what's up ? ""
 ' Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . '
 "" Oh , that's exciting . What does this guy look like ? Is he hot ? ""
 "" Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . ""
 ' It seems you two are a good match . What qualities do you look for in a friend ? '
 "" There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends . ""
 "" Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . ""
 "" I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . ""
 "" Yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . ""]",[2 1 2 1 2 1 1 1 1],[0 0 4 0 4 0 6 0 0],1258
69,"['What ’ s up ? You don ’ t look too good . '
 ' Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! '
 ' I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . '
 ' Yeah , yeah , but today ’ s lesson was all about the creation of the universe . '
 ' A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . '
 ' It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . '
 ' Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . '
 ' Math , sheath . What ’ s the evidence ? '
 ' There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! '
 ' Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? '
 ' Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ? ']",[2 1 1 1 1 1 1 2 1 2 1],[0 2 0 0 0 0 0 0 0 0 0],1471
70,"['Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ? '
 "" I think lifelong learning is the concept that it's never too soon or too late for learning ""
 ' Does that mean studying all the time ? '
 "" I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . ""
 "" Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer . ""
 "" You're right . Lifelong learning is about finding learning opportunities at all ages and in numerous contexts ""
 ' Yes , I agree with you . When I retired I will participate in programs to keep momentally active . '
 ' Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things . '
 "" You know what ? I've recently been teaching myself French . ""
 "" Really ? That's great ! I know that your company has a lot of clients in France . ""
 ' Yes , so I want to learn French to develop my career . ']",[2 1 2 1 1 1 1 1 2 1 1],[0 0 0 0 0 0 0 0 0 6 0],1094
